CNAE,Descrição Receita Federal,MCC,Descrição MCC2,,,,
0600-0/03,Extração e beneficiamento de areias betuminosas,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
0710-3/01,Extração de minério de ferro,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0710-3/02,Pelotização, sinterização e outros beneficiamentos de minério de ferro,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0721-9/01,Extração de minério de alumínio,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0721-9/02,Beneficiamento de minério de alumínio,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0722-7/01,Extração de minério de estanho,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0722-7/02,Beneficiamento de minério de estanho,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0723-5/01,Extração de minério de manganês,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0723-5/02,Beneficiamento de minério de manganês,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0724-3/01,Extração de minério de metais preciosos,5094,Atacadistas e Distribuidores de Jóias, Relógios e Pedras Preciosas,,,,
0724-3/02,Beneficiamento de minério de metais preciosos,5094,Atacadistas e Distribuidores de Jóias, Relógios e Pedras Preciosas,,,,
0725-1/00,Extração de minerais radioativos,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0729-4/01,Extração de minérios de nióbio e titânio,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0729-4/02,Extração de minério de tungstênio,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0729-4/03,Extração de minério de níquel,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0729-4/04,Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0729-4/05,Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0810-0/01,Extração de ardósia e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/02,Extração de granito e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/03,Extração de mármore e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/05,Extração de gesso e caulim,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/06,Extração de areia, cascalho ou pedregulho e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/07,Extração de argila e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/08,Extração de saibro e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/09,Extração de basalto e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/10,Beneficiamento de gesso e caulim associado à extração,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0891-6/00,Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0892-4/01,Extração de sal marinho,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0892-4/02,Extração de sal-gema,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0892-4/03,Refino e outros tratamentos do sal,763,Cooperativas Agrícolas,,,,
0893-2/00,Extração de gemas (pedras preciosas e semipreciosas),5094,Atacadistas e Distribuidores de Jóias, Relógios e Pedras Preciosas,,,,
0899-1/01,Extração de grafita,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0899-1/02,Extração de quartzo,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0899-1/03,Extração de amianto,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,,,,
0899-1/99,Extração de outros minerais não-metálicos não especificados anteriormente,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
0910-6/00,Atividades de apoio à extração de petróleo e gás natural,5172,Atacadistas e Distribuidores de Petróleo e Derivados,,,,
0990-4/01,Atividades de apoio à extração de minério de ferro,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0990-4/02,Atividades de apoio à extração de minerais metálicos não-ferrosos,5051,Atacadistas e Distribuidores de Produtos Metálicos,,,,
0990-4/03,Atividades de apoio à extração de minerais não-metálicos,1740,Pedreiros e Serviços de instalação de Pedras, Ladrilhos, Tijolos, Forros e Isolamento,,,,
1011-2/01,Frigorífico - abate de bovinos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1011-2/02,Frigorífico - abate de eqüinos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1011-2/03,Frigorífico - abate de ovinos e caprinos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1011-2/04,Frigorífico - abate de bufalinos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1011-2/05,Matadouro - abate de reses sob contrato, exceto abate de suínos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1012-1/01,Abate de aves,5499,Cafeterias / Sacolões / Sorveterias / Suplementos Alimentares (dietéticos e para esportistas) / Comida Especializada,,,,
1012-1/02,Abate de pequenos animais,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1012-1/03,Frigorífico - abate de suínos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1012-1/04,Matadouro - abate de suínos sob contrato,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1013-9/01,Fabricação de produtos de carne,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1013-9/02,Preparação de subprodutos do abate,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1020-1/01,Preservação de peixes, crustáceos e moluscos,5422,Açougues, Peixaria, Avícolas e Frigoríficos,,,,
1020-1/02,Fabricação de conservas de peixes, crustáceos e moluscos,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1031-7/00,Fabricação de conservas de frutas,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1032-5/01,Fabricação de conservas de palmito,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1032-5/99,Fabricação de conservas de legumes e outros vegetais, exceto palmito,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1033-3/01,Fabricação de sucos concentrados de frutas, hortaliças e legumes,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1033-3/02,Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1041-4/00,Fabricação de óleos vegetais em bruto, exceto óleo de milho,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1042-2/00,Fabricação de óleos vegetais refinados, exceto óleo de milho,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1043-1/00,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1051-1/00,Preparação do leite,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1052-0/00,Fabricação de laticínios,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1053-8/00,Fabricação de sorvetes e outros gelados comestíveis,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1061-9/01,Beneficiamento de arroz,763,Cooperativas Agrícolas,,,,
1061-9/02,Fabricação de produtos do arroz,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1062-7/00,Moagem de trigo e fabricação de derivados,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1063-5/00,Fabricação de farinha de mandioca e derivados,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1064-3/00,Fabricação de farinha de milho e derivados, exceto óleos de milho,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1065-1/01,Fabricação de amidos e féculas de vegetais,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1065-1/02,Fabricação de óleo de milho em bruto,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1065-1/03,Fabricação de óleo de milho refinado,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1066-0/00,Fabricação de alimentos para animais,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1069-4/00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1071-6/00,Fabricação de açúcar em bruto,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1072-4/01,Fabricação de açúcar de cana refinado,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1072-4/02,Fabricação de açúcar de cereais (dextrose) e de beterraba,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1081-3/01,Beneficiamento de café,763,Cooperativas Agrícolas,,,,
1081-3/02,Torrefação e moagem de café,763,Cooperativas Agrícolas,,,,
1082-1/00,Fabricação de produtos à base de café,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1091-1/00,Fabricação de produtos de panificação,5462,Padarias / Lojas de Biscoitos / bomboniere,,,,
1091-1/01,Fabricação de produtos de panificação industrial,5462,Padarias / Lojas de Biscoitos / bomboniere,,,,
1091-1/02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,5462,Padarias / Lojas de Biscoitos / bomboniere,,,,
1092-9/00,Fabricação de biscoitos e bolachas,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1093-7/01,Fabricação de produtos derivados do cacau e de chocolates,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1093-7/02,Fabricação de frutas cristalizadas, balas e semelhantes,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1094-5/00,Fabricação de massas alimentícias,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1095-3/00,Fabricação de especiarias, molhos, temperos e condimentos,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1096-1/00,Fabricação de alimentos e pratos prontos,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/01,Fabricação de vinagres,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/02,Fabricação de pós alimentícios,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/03,Fabricação de fermentos e leveduras,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/04,Fabricação de gelo comum,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/05,Fabricação de produtos para infusão (chá, mate, etc.),5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/06,Fabricação de adoçantes naturais e artificiais,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1111-9/01,Fabricação de aguardente de cana-de-açúcar,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1111-9/02,Fabricação de outras aguardentes e bebidas destiladas,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1112-7/00,Fabricação de vinho,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1113-5/01,Fabricação de malte, inclusive malte uísque,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1113-5/02,Fabricação de cervejas e chopes,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1121-6/00,Fabricação de águas envasadas,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1122-4/01,Fabricação de refrigerantes,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1122-4/03,Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1122-4/04,Fabricação de bebidas isotônicas,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1122-4/99,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1210-7/00,Processamento industrial do fumo,763,Cooperativas Agrícolas,,,,
1220-4/01,Fabricação de cigarros,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1220-4/02,Fabricação de cigarrilhas e charutos,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1220-4/03,Fabricação de filtros para cigarros,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1220-4/99,Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,,,,
1311-1/00,Preparação e fiação de fibras de algodão,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1312-0/00,Preparação e fiação de fibras têxteis naturais, exceto algodão,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1313-8/00,Fiação de fibras artificiais e sintéticas,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1314-6/00,Fabricação de linhas para costurar e bordar,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1321-9/00,Tecelagem de fios de algodão,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1322-7/00,Tecelagem de fios de fibras têxteis naturais, exceto algodão,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1323-5/00,Tecelagem de fios de fibras artificiais e sintéticas,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1330-8/00,Fabricação de tecidos de malha,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1340-5/01,Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1340-5/02,Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1340-5/99,Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário,5697,Costureiras e Alfaiates,,,,
1351-1/00,Fabricação de artefatos têxteis para uso doméstico,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1352-9/00,Fabricação de artefatos de tapeçaria,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1353-7/00,Fabricação de artefatos de cordoaria,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1354-5/00,Fabricação de tecidos especiais, inclusive artefatos,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1359-6/00,Fabricação de outros produtos têxteis não especificados anteriormente,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,,,,
1411-8/01,Confecção de roupas íntimas,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1411-8/02,Facção de roupas íntimas,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1412-6/01,Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1412-6/02,Confecção, sob medida, de peças do vestuário, exceto roupas íntimas,5697,Costureiras e Alfaiates,,,,
1412-6/03,Facção de peças do vestuário, exceto roupas íntimas,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
1413-4/01,Confecção de roupas profissionais, exceto sob medida,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),,,,
